latitude,longitude
-17.9,-45.0
-17.9,-44.75
-17.9,-44.5
-17.9,-44.25
-17.9,-44.0
-17.9,-43.75
-17.9,-43.5
-17.9,-43.25
-17.9,-43.0
-17.9,-42.75
-17.9,-42.5
-17.9,-42.25
-17.9,-42.0
-17.9,-41.75
-17.9,-41.5
-17.9,-41.25
-17.9,-41.0
-17.9,-40.75
-17.9,-40.5
-17.9,-40.25
-17.9,-40.0
-17.9,-39.75
-17.9,-39.5
-17.65,-45.0
-17.65,-44.75
-17.65,-44.5
-17.65,-44.25
-17.65,-44.0
-17.65,-43.75
-17.65,-43.5
-17.65,-43.25
-17.65,-43.0
-17.65,-42.75
-17.65,-42.5
-17.65,-42.25
-17.65,-42.0
-17.65,-41.75
-17.65,-41.5
-17.65,-41.25
-17.65,-41.0
-17.65,-40.75
-17.65,-40.5
-17.65,-40.25
-17.65,-40.0
-17.65,-39.75
-17.65,-39.5
-17.65,-39.25
-17.4,-45.0
-17.4,-44.75
-17.4,-44.5
-17.4,-44.25
-17.4,-44.0
-17.4,-43.75
-17.4,-43.5
-17.4,-43.25
-17.4,-43.0
-17.4,-42.75
-17.4,-42.5
-17.4,-42.25
-17.4,-42.0
-17.4,-41.75
-17.4,-41.5
-17.4,-41.25
-17.4,-41.0
-17.4,-40.75
-17.4,-40.5
-17.4,-40.25
-17.4,-40.0
-17.4,-39.75
-17.4,-39.5
-17.4,-39.25
-17.15,-45.0
-17.15,-44.75
-17.15,-44.5
-17.15,-44.25
-17.15,-44.0
-17.15,-43.75
-17.15,-43.5
-17.15,-43.25
-17.15,-43.0
-17.15,-42.75
-17.15,-42.5
-17.15,-42.25
-17.15,-42.0
-17.15,-41.75
-17.15,-41.5
-17.15,-41.25
-17.15,-41.0
-17.15,-40.75
-17.15,-40.5
-17.15,-40.25
-17.15,-40.0
-17.15,-39.75
-17.15,-39.5
-17.15,-39.25
-16.9,-45.0
-16.9,-44.75
-16.9,-44.5
-16.9,-44.25
-16.9,-44.0
-16.9,-43.75
-16.9,-43.5
-16.9,-43.25
-16.9,-43.0
-16.9,-42.75
-16.9,-42.5
-16.9,-42.25
-16.9,-42.0
-16.9,-41.75
-16.9,-41.5
-16.9,-41.25
-16.9,-41.0
-16.9,-40.75
-16.9,-40.5
-16.9,-40.25
-16.9,-40.0
-16.9,-39.75
-16.9,-39.5
-16.9,-39.25
-16.65,-45.0
-16.65,-44.75
-16.65,-44.5
-16.65,-44.25
-16.65,-44.0
-16.65,-43.75
-16.65,-43.5
-16.65,-43.25
-16.65,-43.0
-16.65,-42.75
-16.65,-42.5
-16.65,-42.25
-16.65,-42.0
